0.0000 -1.4349 2.0000 1.0000
0.0200 -1.4150 2.0000 1.0000
0.0400 -1.3953 2.0000 1.0000
0.0600 -1.3757 2.0000 1.0000
0.0800 -1.3564 2.0000 1.0000
0.1000 -1.3372 2.0000 1.0000
0.1200 -1.3182 2.0000 1.0000
0.1400 -1.2994 2.0000 1.0000
0.1600 -1.2808 2.0000 1.0000
0.1800 -1.2624 2.0000 1.0000
0.2000 -1.2441 2.0000 1.0000
0.2200 -1.2261 2.0000 1.0000
0.2400 -1.2082 1.9999 1.0000
0.2600 -1.1905 1.9982 1.0000
0.2800 -1.1730 1.9905 1.0000
0.3000 -1.1557 1.9780 1.0000
0.3200 -1.1388 1.9632 1.0000
0.3400 -1.1223 1.9473 1.0000
0.3600 -1.1061 1.9308 1.0000
0.3800 -1.0903 1.9138 1.0000
0.4000 -1.0748 1.8966 1.0000
0.4200 -1.0597 1.8793 1.0000
0.4400 -1.0449 1.8620 1.0000
0.4600 -1.0305 1.8446 1.0000
0.4800 -1.0164 1.8272 1.0000
0.5000 -1.0027 1.8098 1.0000 
0.5200 -0.9893 1.7926 1.0000 
0.5400 -0.9763 1.7754 1.0000 
0.5600 -0.9636 1.7583 1.0000 
0.5800 -0.9513 1.7414 1.0000 
0.6000 -0.9393 1.7246 1.0000 
0.6200 -0.9276 1.7079 1.0000 
0.6400 -0.9162 1.6915 1.0000 
0.6600 -0.9052 1.6752 1.0000 
0.6800 -0.8944 1.6591 1.0000 
0.7000 -0.8840 1.6433 1.0000 
0.7200 -0.8739 1.6276 1.0000 
0.7400 -0.8640 1.6122 1.0000 
0.7600 -0.8545 1.5971 1.0000 
0.7800 -0.8453 1.5822 1.0000 
0.8000 -0.8363 1.5675 1.0000 
0.8200 -0.8276 1.5531 1.0000 
0.8400 -0.8192 1.5390 1.0000 
0.8600 -0.8111 1.5251 1.0000 
0.8800 -0.8032 1.5116 1.0000 
0.9000 -0.7955 1.4983 1.0000 
0.9200 -0.7881 1.4853 1.0000 
0.9400 -0.7810 1.4726 1.0000 
0.9600 -0.7741 1.4602 1.0000 
0.9800 -0.7674 1.4482 1.0000 
1.0000 -0.7609 1.4364 1.0000 
1.0200 -0.7546 1.4249 1.0000 
1.0400 -0.7486 1.4137 1.0000 
1.0600 -0.7427 1.4028 1.0000 
1.0800 -0.7371 1.3922 1.0000 
1.1000 -0.7316 1.3819 1.0000 
1.1200 -0.7263 1.3719 1.0000 
1.1400 -0.7212 1.3623 1.0000 
1.1600 -0.7163 1.3528 1.0000 
1.1800 -0.7115 1.3437 1.0000 
1.2000 -0.7069 1.3349 1.0000 
1.2200 -0.7025 1.3263 1.0000 
1.2400 -0.6982 1.3180 1.0000 
1.2600 -0.6940 1.3100 1.0000 
1.2800 -0.6900 1.3023 1.0000 
1.3000 -0.6861 1.2948 1.0000 
1.3200 -0.6824 1.2875 1.0000 
1.3400 -0.6788 1.2805 1.0000 
1.3600 -0.6752 1.2737 1.0000 
1.3800 -0.6718 1.2671 1.0000 
1.4000 -0.6686 1.2608 1.0000 
1.4200 -0.6654 1.2547 1.0000 
1.4400 -0.6623 1.2488 1.0000 
1.4600 -0.6593 1.2431 1.0000 
1.4800 -0.6564 1.2375 1.0000 
1.5000 -0.6536 1.2322 1.0000 
1.5200 -0.6509 1.2271 1.0000 
1.5400 -0.6483 1.2221 1.0000 
1.5600 -0.6457 1.2173 1.0000 
1.5800 -0.6432 1.2127 1.0000 
